                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73253,                 1.6173,                 1.0549,                0.93448,                0.93923,                0.96589,                0.79114,                0.60006,                 1.6985,                0.94975,             0.00065823,             0.00065823,             0.00065823
                      2,                0.65841,                0.95821,                  0.988,                 0.8659,                0.92751,                0.93614,                0.78497,                0.62006,                0.90159,                0.99973,              0.0012724,              0.0012724,              0.0012724
                      3,                0.67556,                0.78712,                 1.0022,                0.96388,                 0.9337,                0.95384,                0.78432,                0.60313,                0.77184,                0.95571,              0.0018338,              0.0018338,              0.0018338
                      4,                0.63995,                0.64271,                0.98731,                0.96435,                0.96685,                 0.9807,                 0.8105,                0.64172,                0.51286,                 0.9718,              0.0017624,              0.0017624,              0.0017624
                      5,                0.61025,                0.54002,                0.98265,                0.98341,                0.98232,                0.98269,                 0.8373,                0.54377,                0.42064,                0.94691,              0.0016832,              0.0016832,              0.0016832
                      6,                0.58442,                0.50171,                0.96017,                0.97436,                0.97238,                0.98096,                0.84346,                 0.5257,                0.36709,                0.94275,               0.001604,               0.001604,               0.001604
                      7,                 0.5585,                0.46171,                0.95015,                0.98894,                0.98791,                0.98613,                0.84317,                0.50107,                0.37264,                0.92492,              0.0015248,              0.0015248,              0.0015248
                      8,                  0.566,                0.47117,                0.96332,                0.98272,                0.98343,                0.98574,                 0.8545,                0.47231,                0.36381,                 0.9073,              0.0014456,              0.0014456,              0.0014456
                      9,                0.52369,                0.44176,                0.95036,                0.98854,                0.98895,                0.98643,                0.87701,                0.47086,                0.35256,                0.90682,              0.0013664,              0.0013664,              0.0013664
                     10,                0.52084,                0.43244,                0.94725,                0.98853,                0.98895,                 0.9898,                0.88302,                0.45739,                0.31065,                0.91068,              0.0012872,              0.0012872,              0.0012872
                     11,                0.51052,                0.41557,                0.94253,                0.98859,                0.98895,                0.98894,                0.86623,                0.46727,                0.33483,                0.91025,               0.001208,               0.001208,               0.001208
                     12,                0.50258,                 0.4031,                0.93696,                 0.9831,                0.98895,                0.99185,                0.87734,                0.41588,                0.33771,                0.88496,              0.0011288,              0.0011288,              0.0011288
                     13,                0.47763,                  0.382,                0.93805,                0.98858,                0.98895,                  0.992,                0.89008,                0.42325,                0.27943,                0.89691,              0.0010496,              0.0010496,              0.0010496
                     14,                0.45246,                0.38768,                0.92536,                0.98834,                0.98895,                0.99358,                0.89592,                0.39002,                0.32776,                0.86715,              0.0009704,              0.0009704,              0.0009704
                     15,                0.45808,                0.37321,                0.93578,                0.98733,                0.98895,                0.98905,                0.88619,                0.43717,                0.28488,                0.89985,              0.0008912,              0.0008912,              0.0008912
                     16,                0.41352,                0.31802,                0.91012,                0.98201,                0.96685,                0.98485,                 0.8724,                0.42549,                0.36078,                0.89055,               0.000812,               0.000812,               0.000812
                     17,                0.39589,                0.31957,                0.89235,                0.98863,                0.98895,                0.98858,                0.89241,                0.42474,                0.30511,                0.89291,              0.0007328,              0.0007328,              0.0007328
                     18,                0.39315,                0.32264,                0.89413,                0.98287,                0.98895,                0.98965,                0.89065,                0.41962,                0.28785,                  0.896,              0.0006536,              0.0006536,              0.0006536
                     19,                0.39067,                0.30287,                0.90035,                0.98857,                0.98895,                0.98904,                0.89416,                0.39731,                0.28863,                0.87374,              0.0005744,              0.0005744,              0.0005744
                     20,                0.36288,                0.30284,                0.87127,                0.98848,                0.98895,                0.98869,                0.90891,                 0.3927,                0.26465,                0.89596,              0.0004952,              0.0004952,              0.0004952
                     21,                0.35335,                0.28752,                0.87603,                0.98845,                0.98895,                0.98807,                0.89787,                0.35577,                0.29108,                0.86425,               0.000416,               0.000416,               0.000416
                     22,                0.34432,                0.29715,                0.87015,                0.98853,                0.98895,                0.98985,                 0.9066,                0.39626,                0.27963,                0.89637,              0.0003368,              0.0003368,              0.0003368
                     23,                0.33742,                0.28037,                0.87108,                0.98843,                0.98895,                0.98737,                0.90299,                 0.3629,                0.28229,                0.86913,              0.0002576,              0.0002576,              0.0002576
                     24,                0.31746,                0.27925,                0.86214,                0.98854,                0.98895,                 0.9908,                0.90991,                0.34201,                 0.2733,                0.85454,              0.0001784,              0.0001784,              0.0001784
                     25,                0.31804,                0.26758,                0.86328,                0.98848,                0.98895,                0.98766,                0.90905,                0.33248,                0.27307,                0.85155,               9.92e-05,               9.92e-05,               9.92e-05
